id,ticker,timestamp,caption,sentiment,virality,image_path,price_change,price_up,volume
0,RKT,2023-10-16 04:29:00,RKT rocket! 💎🙌,positive,81.95930106558707,meme_images/meme_0.png,1.7584822846751655,1,63007.50142028111
1,RKT,2023-04-24 11:05:00,RKT FUD... 💸,negative,21.356915738647466,meme_images/meme_1.png,-3.03186678511373,0,8669.305788516886
2,SPCE,2023-04-06 06:47:00,SPCE bear... 😢,negative,25.764745498429708,meme_images/meme_2.png,-2.637838423057646,0,91228.17593865473
3,RKT,2023-12-08 23:38:00,RKT bear... 📉,negative,488.00058169378445,meme_images/meme_3.png,-1.5370589458365498,0,9570.724894619729
4,NOK,2023-07-07 18:03:00,NOK update. ⌛,neutral,244.50196193191383,meme_images/meme_4.png,0.3683771782240689,1,9322.787732370307
5,NOK,2023-10-03 19:57:00,NOK hold. 📊,neutral,277.20081291285845,meme_images/meme_5.png,1.416154372848959,1,48555.97621678733
6,MSFT,2023-08-07 03:15:00,MSFT sell... 💸,negative,62.784722899628996,meme_images/meme_6.png,-4.408619654645284,0,25778.27775493364
7,NVDA,2023-07-11 06:43:00,NVDA up! 📈,positive,258.18977869373253,meme_images/meme_7.png,3.482558113672787,1,219548.84381315767
8,AMD,2023-04-28 02:34:00,AMD update. 📊,neutral,12.423056289499424,meme_images/meme_8.png,0.28729142338036034,1,8728.181148865593
9,TSLA,2023-05-21 10:19:00,TSLA to the moon! 💎🙌,positive,90.84960272265334,meme_images/meme_9.png,3.298681545437665,1,13560.845058472982
10,SPCE,2023-07-14 15:08:00,SPCE to the moon! 💎🙌,positive,36.75411172415915,meme_images/meme_10.png,3.3655224939082062,1,50457.53153090769
11,NOK,2023-01-07 01:45:00,NOK paper hands... 💸,negative,568.5383450831188,meme_images/meme_11.png,-2.735699327367723,0,38123.91713721276
12,NOK,2023-04-20 14:18:00,NOK dump... 📉,negative,96.46922548600618,meme_images/meme_12.png,-4.454731222787457,0,44298.98959787523
13,TSLA,2023-10-27 10:11:00,TSLA bear... 💸,negative,687.1581534614413,meme_images/meme_13.png,-1.5114496633420387,0,32378.27631044058
14,PLTR,2023-12-16 06:10:00,PLTR update. 🧐,neutral,710.0586153246902,meme_images/meme_14.png,-2.9310496282530947,0,35571.180353541386
15,AMD,2023-02-24 16:05:00,AMD update. 🧐,neutral,704.1303212787132,meme_images/meme_15.png,-0.8211199693543273,0,84985.16079327244
16,SPCE,2023-02-18 16:18:00,SPCE news. 🧐,neutral,265.44753944892784,meme_images/meme_16.png,-0.24982680688869655,0,63284.33903852809
17,NVDA,2023-04-12 04:20:00,NVDA FUD... 😢,negative,1432.5358339738948,meme_images/meme_17.png,-6.05891883487015,0,209473.90523747847
18,RKT,2023-10-12 15:13:00,RKT hold. 📊,neutral,107.29348192422209,meme_images/meme_18.png,-0.013789006875171372,0,276467.9696617201
19,SPCE,2023-02-17 19:27:00,SPCE sell... 😢,negative,439.65395748499526,meme_images/meme_19.png,-2.3390061767473975,0,26382.647575827446
20,AMD,2023-10-21 14:31:00,AMD gain! 📈,positive,9.417668230191536,meme_images/meme_20.png,2.423238740284621,1,27295.79682476273
21,NOK,2023-05-03 16:36:00,NOK hold. 🧐,neutral,6393.003098294984,meme_images/meme_21.png,-0.8695848723975474,0,58393.19917337381
