id,ticker,timestamp,price_timestamp,price_up,multi_modal_prob,prediction,actual,signal
3597,AAPL,2023-01-01 02:45:00,2023-01-01 02:55:00,0,0.13139386,0,0,Sell
4513,AAPL,2023-01-02 07:02:00,2023-01-02 07:17:00,0,0.18537138,0,0,Sell
4547,AAPL,2023-01-02 10:34:00,2023-01-02 10:44:00,1,0.5202714,1,1,Hold
5246,AAPL,2023-01-03 05:20:00,2023-01-03 05:40:00,1,0.5651954,1,1,Hold
4253,AAPL,2023-01-03 13:04:00,2023-01-03 13:32:00,0,0.37518397,0,0,Sell
674,AAPL,2023-01-03 14:09:00,2023-01-03 14:23:00,0,0.20155981,0,0,Sell
5816,AAPL,2023-01-03 19:09:00,2023-01-03 19:25:00,0,0.22547646,0,0,Sell
5655,AAPL,2023-01-03 19:27:00,2023-01-03 19:40:00,0,0.26156837,0,0,Sell
4291,AAPL,2023-01-03 21:02:00,2023-01-03 21:25:00,0,0.15509617,0,0,Sell
9197,AAPL,2023-01-04 02:35:00,2023-01-04 02:41:00,1,0.4308442,0,1,Hold
9449,AAPL,2023-01-04 05:00:00,2023-01-04 05:16:00,0,0.18168305,0,0,Sell
1976,AAPL,2023-01-04 14:30:00,2023-01-04 14:56:00,1,0.3546429,0,1,Sell
4771,AAPL,2023-01-04 14:50:00,2023-01-04 15:10:00,0,0.18420243,0,0,Sell
2029,AAPL,2023-01-04 15:42:00,2023-01-04 15:49:00,0,0.14376444,0,0,Sell
5335,AAPL,2023-01-05 18:17:00,2023-01-05 18:28:00,1,0.21945766,0,1,Sell
8681,AAPL,2023-01-06 12:08:00,2023-01-06 12:34:00,0,0.47776872,0,0,Hold
6410,AAPL,2023-01-07 11:51:00,2023-01-07 11:57:00,1,0.53464407,1,1,Hold
9923,AAPL,2023-01-07 13:32:00,2023-01-07 13:44:00,0,0.24035525,0,0,Sell
6136,AAPL,2023-01-08 00:54:00,2023-01-08 01:13:00,0,0.31211042,0,0,Sell
6415,AAPL,2023-01-08 20:40:00,2023-01-08 21:07:00,0,0.26116872,0,0,Sell
7400,AAPL,2023-01-09 06:46:00,2023-01-09 06:59:00,0,0.4075278,0,0,Hold
3866,AAPL,2023-01-09 08:20:00,2023-01-09 08:34:00,0,0.19533844,0,0,Sell
978,AAPL,2023-01-10 05:15:00,2023-01-10 05:30:00,0,0.14358312,0,0,Sell
2026,AAPL,2023-01-10 10:03:00,2023-01-10 10:17:00,1,0.43421063,0,1,Hold
9728,AAPL,2023-01-10 11:05:00,2023-01-10 11:35:00,0,0.43826896,0,0,Hold
6664,AAPL,2023-01-11 01:13:00,2023-01-11 01:20:00,0,0.1596826,0,0,Sell
7546,AAPL,2023-01-11 05:22:00,2023-01-11 05:43:00,1,0.42409503,0,1,Hold
9615,AAPL,2023-01-11 07:45:00,2023-01-11 07:54:00,1,0.49335745,0,1,Hold
9487,AAPL,2023-01-11 16:05:00,2023-01-11 16:34:00,0,0.5993903,1,0,Hold
2799,AAPL,2023-01-12 21:18:00,2023-01-12 21:46:00,1,0.69661486,1,1,Buy
6050,AAPL,2023-01-13 00:03:00,2023-01-13 00:30:00,0,0.44707254,0,0,Hold
8882,AAPL,2023-01-14 01:29:00,2023-01-14 01:44:00,1,0.7642566,1,1,Buy
7252,AAPL,2023-01-14 04:58:00,2023-01-14 05:06:00,1,0.76667744,1,1,Buy
5998,AAPL,2023-01-14 06:54:00,2023-01-14 07:06:00,1,0.6509993,1,1,Buy
7665,AAPL,2023-01-15 14:31:00,2023-01-15 14:46:00,1,0.7755391,1,1,Buy
4017,AAPL,2023-01-16 06:10:00,2023-01-16 06:15:00,0,0.67517483,1,0,Buy
2794,AAPL,2023-01-17 06:41:00,2023-01-17 06:57:00,1,0.7306703,1,1,Buy
825,AAPL,2023-01-17 09:21:00,2023-01-17 09:29:00,1,0.61178917,1,1,Buy
4371,AAPL,2023-01-18 06:28:00,2023-01-18 06:50:00,0,0.3715393,0,0,Sell
548,AAPL,2023-01-18 13:53:00,2023-01-18 14:10:00,1,0.8155313,1,1,Buy
2098,AAPL,2023-01-18 15:24:00,2023-01-18 15:40:00,1,0.7909454,1,1,Buy
8774,AAPL,2023-01-19 08:57:00,2023-01-19 09:05:00,1,0.77181965,1,1,Buy
8828,AAPL,2023-01-19 19:45:00,2023-01-19 20:11:00,1,0.8138792,1,1,Buy
9722,AAPL,2023-01-20 12:26:00,2023-01-20 12:46:00,1,0.7390452,1,1,Buy
